index:    0, size: 189309, qp: 27, enc_time:  5.21, black: 0, mvx:     0, mvy:     0, intra_mb:  8160, inter_mb:     0, intra_ratio: 100.00, satd:   18848430, sqoe_score: 9.16356, sqoe_fr_score: 9.60531, recommend_rate:  38000,ssim: 0.97544, y_psnr: 37.235, u_psnr: 40.191, v_psnr: 41.112, yuv_psnr: 38.089, vmaf: 0.000, frame_type: 1
index:    1, size:  70364, qp: 32, enc_time:  4.18, black: 0, mvx:    -5, mvy:    76, intra_mb:  3475, inter_mb:  4685, intra_ratio: 42.59, satd:   14031658, sqoe_score: 9.23117, sqoe_fr_score: 8.98533, recommend_rate:  51864,ssim: 0.96649, y_psnr: 35.692, u_psnr: 39.494, v_psnr: 40.358, yuv_psnr: 36.751, vmaf: 0.000, frame_type: 3
index:    2, size:  59695, qp: 32, enc_time:  4.41, black: 0, mvx:    -1, mvy:    54, intra_mb:  2540, inter_mb:  5620, intra_ratio: 31.13, satd:   12787507, sqoe_score: 9.18285, sqoe_fr_score: 8.89680, recommend_rate:  53274,ssim: 0.96613, y_psnr: 35.749, u_psnr: 39.424, v_psnr: 40.151, yuv_psnr: 36.758, vmaf: 0.000, frame_type: 3
index:    3, size:  63429, qp: 31, enc_time:  4.21, black: 0, mvx:     7, mvy:    36, intra_mb:  2268, inter_mb:  5892, intra_ratio: 27.79, satd:   11973190, sqoe_score: 9.32208, sqoe_fr_score: 9.03023, recommend_rate:  50428,ssim: 0.96884, y_psnr: 36.509, u_psnr: 39.638, v_psnr: 40.309, yuv_psnr: 37.375, vmaf: 0.000, frame_type: 3
index:    4, size:  55423, qp: 30, enc_time:  4.07, black: 0, mvx:    -2, mvy:    16, intra_mb:  1897, inter_mb:  6263, intra_ratio: 23.25, satd:   11207520, sqoe_score: 9.43423, sqoe_fr_score: 9.25202, recommend_rate:  44744,ssim: 0.96923, y_psnr: 36.646, u_psnr: 39.662, v_psnr: 40.347, yuv_psnr: 37.486, vmaf: 0.000, frame_type: 3
index:    5, size:  50584, qp: 30, enc_time:  4.12, black: 0, mvx:   -11, mvy:    14, intra_mb:  1649, inter_mb:  6511, intra_ratio: 20.21, satd:   10679665, sqoe_score: 9.42510, sqoe_fr_score: 9.21437, recommend_rate:  45934,ssim: 0.96931, y_psnr: 36.782, u_psnr: 39.691, v_psnr: 40.384, yuv_psnr: 37.596, vmaf: 0.000, frame_type: 3
index:    6, size:  58508, qp: 29, enc_time:  3.89, black: 0, mvx:   -12, mvy:    10, intra_mb:  1768, inter_mb:  6392, intra_ratio: 21.67, satd:   10379715, sqoe_score: 9.58257, sqoe_fr_score: 9.41831, recommend_rate:  40294,ssim: 0.97160, y_psnr: 37.448, u_psnr: 39.613, v_psnr: 40.803, yuv_psnr: 38.138, vmaf: 0.000, frame_type: 3
index:    7, size:  56920, qp: 28, enc_time:  3.86, black: 0, mvx:    -4, mvy:     7, intra_mb:  1335, inter_mb:  6825, intra_ratio: 16.36, satd:    9598423, sqoe_score: 9.59334, sqoe_fr_score: 9.54322, recommend_rate:  38000,ssim: 0.97365, y_psnr: 38.043, u_psnr: 39.965, v_psnr: 40.919, yuv_psnr: 38.643, vmaf: 0.000, frame_type: 3
index:    8, size:  65574, qp: 27, enc_time:  3.86, black: 0, mvx:     0, mvy:     5, intra_mb:  1305, inter_mb:  6855, intra_ratio: 15.99, satd:    9307669, sqoe_score: 9.67761, sqoe_fr_score: 9.57610, recommend_rate:  38000,ssim: 0.97624, y_psnr: 38.773, u_psnr: 40.623, v_psnr: 41.362, yuv_psnr: 39.328, vmaf: 0.000, frame_type: 3
index:    9, size:  72404, qp: 26, enc_time:  4.05, black: 0, mvx:     1, mvy:     3, intra_mb:  1364, inter_mb:  6796, intra_ratio: 16.72, satd:    9016951, sqoe_score: 9.72620, sqoe_fr_score: 9.67963, recommend_rate:  30161,ssim: 0.97893, y_psnr: 39.446, u_psnr: 41.106, v_psnr: 41.820, yuv_psnr: 39.950, vmaf: 0.000, frame_type: 3
index:   10, size:  72620, qp: 26, enc_time:  3.89, black: 0, mvx:     5, mvy:     3, intra_mb:  1389, inter_mb:  6771, intra_ratio: 17.02, satd:    9011660, sqoe_score: 9.83914, sqoe_fr_score: 9.74856, recommend_rate:  27834,ssim: 0.97973, y_psnr: 39.647, u_psnr: 41.347, v_psnr: 42.041, yuv_psnr: 40.159, vmaf: 0.000, frame_type: 3
